PS1013V,PC,CH002C	18.0 	46.0 	41.0 	: 	: 	: 
PS1013V,PC,CY001C	27.2 	27.0 	27.0 	12.9 	8.7 	: 
PS1013V,PC,CZ001C	45.2 	44.0 	43.0 	52.9 	42.5 	: 
PS1013V,PC,CZ003C	46.0 	45.0 	45.0 	48.5 	38.5 	: 
PS1013V,PC,DE001C	36.5 	38.0 	39.0 	42.9 	34.8 	41.0 
PS1013V,PC,DE002C	43.7 	44.0 	38.0 	47.5 	41.1 	: 
PS1013V,PC,DE003C	34.3 	35.0 	37.0 	44.5 	35.8 	33.0 
PS1013V,PC,DE004C	42.8 	: 	: 	: 	: 	: 
PS1013V,PC,DE005C	40.1 	35.0 	: 	: 	: 	: 
PS1013V,PC,DE006C	39.8 	42.0 	39.0 	45.3 	39.3 	: 
PS1013V,PC,DE007C	40.9 	40.0 	: 	: 	: 	: 
PS1013V,PC,DE008C	42.5 	45.0 	43.0 	43.9 	40.8 	38.0 
PS1013V,PC,DE009C	35.2 	33.0 	: 	: 	: 	: 
PS1013V,PC,DE010C	41.9 	41.0 	41.0 	45.3 	39.5 	33.0 
PS1013V,PC,DE011C	40.5 	37.0 	: 	: 	: 	: 
PS1013V,PC,DE014C	36.3 	37.0 	: 	: 	: 	: 
PS1013V,PC,DE023C	44.6 	42.0 	: 	: 	: 	: 
PS1013V,PC,DE025C	38.8 	35.0 	: 	: 	: 	: 
PS1013V,PC,DE027C	: 	: 	: 	: 	45.4 	: 
PS1013V,PC,DE031C	40.4 	42.0 	: 	: 	: 	: 
PS1013V,PC,DE033C	34.9 	31.0 	: 	: 	: 	: 
PS1013V,PC,DE037C	36.0 	42.0 	: 	: 	: 	: 
PS1013V,PC,DE039C	37.4 	41.0 	: 	: 	: 	: 
PS1013V,PC,DE040C	28.1 	31.0 	39.0 	39.5 	: 	: 
PS1013V,PC,DE041C	: 	: 	39.0 	: 	: 	: 
PS1013V,PC,DE051C	40.1 	42.0 	: 	: 	: 	: 
PS1013V,PC,DE081C	42.1 	38.0 	: 	: 	: 	: 
PS1013V,PC,DE083C	: 	41.0 	: 	: 	: 	: 
PS1013V,PC,DE085C	43.2 	44.0 	: 	: 	: 	: 
PS1013V,PC,DE086C	39.8 	: 	: 	: 	: 	: 
PS1013V,PC,DE088C	: 	45.0 	: 	: 	: 	: 
PS1013V,PC,DE091C	46.0 	42.0 	: 	: 	: 	: 
PS1013V,PC,DE095C	44.5 	46.0 	: 	: 	: 	: 
PS1013V,PC,DE102C	42.5 	: 	: 	: 	: 	: 
PS1013V,PC,DE103C	45.4 	: 	: 	: 	: 	: 
PS1013V,PC,DE104C	42.9 	40.0 	: 	: 	: 	: 
PS1013V,PC,DE112C	42.2 	: 	: 	: 	: 	: 
PS1013V,PC,DE116C	40.2 	36.0 	: 	: 	: 	: 
PS1013V,PC,DE122C	47.0 	46.0 	: 	: 	: 	: 
PS1013V,PC,DK001C	45.3 	44.0 	39.0 	55.1 	44.1 	34.0 
PS1013V,PC,DK004C	37.3 	36.0 	35.0 	48.2 	40.2 	: 
PS1013V,PC,EE001C	45.3 	46.0 	42.0 	49.2 	39.5 	: 
PS1013V,PC,EE002C	46.0 	: 	: 	: 	: 	: 
PS1013V,PC,EE003C	41.0 	: 	: 	: 	: 	: 
PS1013V,PC,EL001C	46.2 	45.0 	43.0 	41.9 	36.9 	39.0 
PS1013V,PC,EL004C	36.9 	36.0 	41.0 	34.3 	24.6 	38.0 
PS1013V,PC,ES001C	44.7 	46.0 	42.0 	56.3 	47.9 	40.0 
PS1013V,PC,ES002C	48.5 	52.0 	48.0 	59.7 	45.8 	52.0 
PS1013V,PC,ES006C	45.9 	48.0 	46.0 	56.2 	42.6 	40.0 
PS1013V,PC,ES013C	48.5 	48.0 	52.0 	63.7 	45.5 	: 
PS1013V,PC,FI001C	: 	44.0 	41.0 	51.4 	45.2 	41.0 
PS1013V,PC,FI004C	33.2 	: 	: 	: 	: 	: 
PS1013V,PC,FR001C	50.5 	49.0 	45.0 	60.8 	49.4 	50.0 
PS1013V,PC,FR004C	46.3 	47.0 	43.0 	47.2 	39.3 	40.0 
PS1013V,PC,FR005C	45.6 	45.0 	46.0 	51.5 	40.6 	: 
PS1013V,PC,FR009C	40.3 	43.0 	45.0 	53.4 	49.5 	: 
PS1013V,PC,FR016C	44.0 	45.0 	45.0 	45.1 	44.4 	38.0 
PS1013V,PC,HR001C	46.3 	47.0 	42.0 	37.3 	39.9 	: 
PS1013V,PC,HU001C	49.4 	51.0 	34.0 	41.7 	34.4 	: 
PS1013V,PC,HU002C	42.7 	48.0 	32.0 	42.9 	48.3 	: 
PS1013V,PC,IE001C	37.0 	38.0 	39.0 	45.6 	29.7 	38.0 
PS1013V,PC,IS001C	25.9 	27.0 	29.0 	: 	: 	: 
PS1013V,PC,IT001C	22.3 	26.0 	28.0 	31.9 	31.8 	36.0 
PS1013V,PC,IT003C	25.9 	28.0 	19.0 	25.8 	31.2 	41.0 
